Komentar,comment_clean,comment_preprocessing,comment_DLD,label
tiket pesawat ke ikn mdh2an dimurahin ☺️☺️spy bs jln2 kesana,tiket pesawat ke ikn mdh an dimurahin spy bs jln kesana,"['tiket', 'pesawat', 'ikn', 'mdh', 'murah', 'jln']","['tiket', 'pesawat', 'ikn', 'md', 'murah', 'jln']",Positif
"Ibu kota Nusantara seindah ini.
ko yg lain bilang seram matanya kemna.",ibu kota nusantara seindah ini ko yg lain bilang seram matanya kemna,"['kota', 'nusantara', 'indah', 'seram', 'mata']","['kota', 'nusantara', 'indah', 'serah', 'mata']",Positif
"Jujur suasana IKN di Sore dan malam tuh syahdu dan cantik bgt woyy,mau main kesana tpi syg jawa barat ke kalimantan lumayan jauh huhu,gda duit😭",jujur suasana ikn di sore dan malam tuh syahdu dan cantik bgt woyy mau main kesana tpi syg jawa barat ke kalimantan lumayan jauh huhu gda duit,"['jujur', 'suasana', 'ikn', 'sore', 'malam', 'syahdu', 'cantik', 'main', 'sayang', 'jawa', 'barat', 'kalimantan', 'lumayan', 'uang']","['jujur', 'suasana', 'ikn', 'sore', 'malam', 'syahdu', 'cantik', 'main', 'sayang', 'jawa', 'barat', 'kalimantan', 'lumayan', 'uang']",Positif
info loker IKN ??,info loker ikn,"['info', 'loker', 'ikn']","['info', 'loket', 'ikn']",Positif
Pasti bangga banget y yg bisa ikut merayakan upacara di ikn.. semoga suatu hari aku dg keluarga juga bisa main main ke ikn,pasti bangga banget y yg bisa ikut merayakan upacara di ikn semoga suatu hari aku dg keluarga juga bisa main main ke ikn,"['bangga', 'raya', 'upacara', 'ikn', 'moga', 'keluarga', 'main', 'main', 'ikn']","['bangga', 'raya', 'upacara', 'ikn', 'moga', 'keluarga', 'main', 'main', 'ikn']",Positif
pengen ke IKN😭😭😭,pengen ke ikn,['ikn'],['ikn'],Positif
"🥰🥰🥰
Semua Doa2 baik dr kami Indonesia Timur untuk IBU KOTA NUSANTARA,kami Sambut dengan Penuh Sukacita 🙏😇🥰
#DirgahayuIndonesiaku
#WelcomeIKNku",semua doa baik dr kami indonesia timur untuk ibu kota nusantara kami sambut dengan penuh sukacita,"['doa', 'indonesia', 'timur', 'kota', 'nusantara', 'sambut', 'penuh', 'sukacita']","['doa', 'indonesia', 'timur', 'kota', 'nusantara', 'sambut', 'penuh', 'sukacita']",Positif
real karya anak negeri 🥺,real karya anak negeri,"['nyata', 'karya', 'anak', 'negeri']","['nyata', 'karya', 'anak', 'negeri']",Positif
wow kerennnnn IKN..Makasih pak Jokowi sudah meng eksekusi cita cita presiden sebelumnya.. Gila dah bener bener bapak pembangunan indonesia.. Dunia melihat ibu kota baru indonesia..,wow kerennnnn ikn makasih pak jokowi sudah meng eksekusi cita cita presiden sebelumnya gila dah bener bener bapak pembangunan indonesia dunia melihat ibu kota baru indonesia,"['keren', 'keren', 'ikn', 'terimakasih', 'jokowi', 'meng', 'eksekusi', 'cita', 'cita', 'presiden', 'gila', 'bangun', 'indonesia', 'dunia', 'kota', 'indonesia']","['keren', 'keren', 'ikn', 'terindikasi', 'jokowi', 'menu', 'eksekusi', 'cita', 'cita', 'presiden', 'gila', 'bangun', 'indonesia', 'dunia', 'kota', 'indonesia']",Positif
"Pak Jokowi Presiden Indonesia Yang Cerdas dan Selalu Mempunyai Pemikiran Baik , NKRI Bangga Mempunyai Presiden Cerdas 🇮🇩👍",pak jokowi presiden indonesia yang cerdas dan selalu mempunyai pemikiran baik nkri bangga mempunyai presiden cerdas,"['jokowi', 'presiden', 'indonesia', 'cerdas', 'pikir', 'nkri', 'bangga', 'presiden', 'cerdas']","['jokowi', 'presiden', 'indonesia', 'cerdas', 'pikir', 'nkri', 'bangga', 'presiden', 'cerdas']",Positif
"ada yang bilang kayak istana setan la
tapi kenyataannya cantik indah bersinar sampai langit ke 7 🥰🥰🥰🥰",ada yang bilang kayak istana setan la tapi kenyataannya cantik indah bersinar sampai langit ke,"['istana', 'setan', 'nyata', 'cantik', 'indah', 'sinar', 'langit']","['istana', 'setan', 'nyata', 'cantik', 'indah', 'sinar', 'langit']",Positif
Kira-kira nanti penyanyinya siapa yaa,kira kira nanti penyanyinya siapa yaa,['nyanyi'],['nyai'],Positif
"bang ijin save yaa, buat bikin wonderful indonesia 🙏🏻",bang ijin save yaa buat bikin wonderful indonesia,"['kakak', 'izin', 'simpan', 'indah', 'indonesia']","['kakak', 'izin', 'simpan', 'indah', 'indonesia']",Positif
Calon calon cpns asn tahun depan sudah siapp meluncur nih🤲,calon calon cpns asn tahun depan sudah siapp meluncur nih,"['calon', 'calon', 'asn', 'siap', 'luncur']","['calon', 'calon', 'asn', 'siap', 'luntur']",Positif
"megah bngt , masyallah🥰 IKN, pak jokowi the best🔥",megah bngt masyallah ikn pak jokowi the best,"['megah', 'masyallah', 'ikn', 'jokowi', 'baik']","['megah', 'masyaallah', 'ikn', 'jokowi', 'baik']",Positif
rumput nya🤣🤣,rumput nya,['rumput'],['rumput'],Negatif
"bismillah tahun depan ke IKN
aminn",bismillah tahun depan ke ikn aminn,"['moga', 'ikn']","['moga', 'ikn']",Positif
siapp bekerja di IKN tahun depan😇🔥🔥,siapp bekerja di ikn tahun depan,"['siap', 'ikn']","['siap', 'ikn']",Positif
👍👍👍👍saya bukan orang kalimantan tapi saya ikut merasakan kbhagiaan buat orang kalimantan mudah2han perekonomianya tambah lancar dengan adanya IKN disana,saya bukan orang kalimantan tapi saya ikut merasakan kbhagiaan buat orang kalimantan mudah han perekonomianya tambah lancar dengan adanya ikn disana,"['orang', 'kalimantan', 'rasa', 'bahagia', 'orang', 'kalimantan', 'mudah', 'perekonomianya', 'lancar', 'ikn', 'sana']","['orang', 'kalimantan', 'rasa', 'bahagia', 'orang', 'kalimantan', 'mudah', 'perekonomian', 'lancat', 'ikn', 'sana']",Positif
"udah pesen jetbus buat ke IKN , ini list anak anaknya",udah pesen jetbus buat ke ikn ini list anak anaknya,"['sen', 'jetbus', 'ikn', 'list', 'anak', 'anak']","['set', 'jerum', 'ikn', 'list', 'anak', 'anak']",Positif
"BANGGA PUNYA IKN NUSANTARA YANG MERUPAKAN SIMBOL KEBESARAAN, KEWIBAWAAN, KEKHARISMAAN NEGARA INDONESIA MAJU DAN JAYA",bangga punya ikn nusantara yang merupakan simbol kebesaraan kewibawaan kekharismaan negara indonesia maju dan jaya,"['bangga', 'ikn', 'nusantara', 'simbol', 'besar', 'wibawa', 'kharisma', 'negara', 'indonesia', 'maju', 'jaya']","['bangga', 'ikn', 'nusantara', 'simbol', 'besar', 'wicara', 'khresna', 'negara', 'indonesia', 'maju', 'jaya']",Positif
masyaaAllah karya asli anak bangsa di bawah komanda pak jokowi dibantu jajarannya emang terbaik dan membanggakan🥰🥰🥰,masyaaallah karya asli anak bangsa di bawah komanda pak jokowi dibantu jajarannya emang terbaik dan membanggakan,"['masyaaallah', 'karya', 'asli', 'anak', 'bangsa', 'komanda', 'jokowi', 'bantu', 'jajar', 'baik', 'bangga']","['masyaallah', 'karya', 'asli', 'anak', 'bangsa', 'komando', 'jokowi', 'bantu', 'jajan', 'baik', 'bangga']",Positif
"Masya Allah 💞 dan msh menunggu kapan rakyat diijinkan utk melihat istana negara baru, terutama yg di Balikpapan dan kota² sekitarnya IKN 🙏",masya allah dan msh menunggu kapan rakyat diijinkan utk melihat istana negara baru terutama yg di balikpapan dan kota sekitarnya ikn,"['masya', 'tunggu', 'rakyat', 'izin', 'istana', 'negara', 'balikpapan', 'kota', 'ikn']","['maya', 'tunggu', 'rakyat', 'izin', 'istana', 'negara', 'balikpapan', 'kota', 'ikn']",Positif
blm jadi 100% Uda bagus.keren pokonya 👍.mudah2an semua berjalan 🤲🤲 IKN.ibu kota Nusantara 👍👍 ❤️❤️,blm jadi uda bagus keren pokonya mudah an semua berjalan ikn ibu kota nusantara,"['bagus', 'keren', 'poko', 'mudah', 'jalan', 'ikn', 'kota', 'nusantara']","['bagus', 'keren', 'poso', 'mudah', 'jalan', 'ikn', 'kota', 'nusantara']",Positif
indah nya istana negara bercahaya,indah nya istana negara bercahaya,"['indah', 'istana', 'negara', 'cahaya']","['indah', 'istana', 'negara', 'cahaya']",Positif
"Bismillah besok brgkt✈️dr malang, tampil kesenian bantengan mberott🫡",bismillah besok brgkt dr malang tampil kesenian bantengan mberott,"['moga', 'besok', 'malang', 'tampil', 'seni', 'banteng', 'mberott']","['moga', 'besok', 'malang', 'tampil', 'seni', 'bandeng', 'mbox']",Positif
coba saya diundang pasti saya ikut upacara di Ikn 🤭🤭😁,coba saya diundang pasti saya ikut upacara di ikn,"['coba', 'undang', 'upacara', 'ikn']","['coba', 'undang', 'upacara', 'ikn']",Positif
Wiih bagus bangetttttt nget ngettt🥰🥰,wiih bagus bangetttttt nget ngettt,"['bagus', 'bagus', 'nget', 'ngettt']","['bagus', 'bagus', 'ngeh', 'ngerti']",Positif
Abang gw kerja disana nanti juga kawin disana semoga bisa kesana juga,abang gw kerja disana nanti juga kawin disana semoga bisa kesana juga,"['kakak', 'kerja', 'sana', 'kawin', 'sana', 'moga']","['kakak', 'kerja', 'sana', 'kawin', 'sana', 'moga']",Positif
ni tmpt apa🗿,ni tmpt apa,['tempat'],['tempat'],Negatif
kueren ikn bangga sama pak jokowi,kueren ikn bangga sama pak jokowi,"['keren', 'ikn', 'bangga', 'jokowi']","['keren', 'ikn', 'bangga', 'jokowi']",Positif
"Sebagus dan seindah itu pdhal, hrsnya kita bangga dg pembangunan ini ❤️",sebagus dan seindah itu pdhal hrsnya kita bangga dg pembangunan ini,"['bagus', 'indah', 'bangga', 'bangun']","['bagus', 'indah', 'bangga', 'bangun']",Positif
Keren bangettttt😍😍 semoga di tahun2 berikutnya IKN semakin bagus dan maju…,keren bangettttt semoga di tahun berikutnya ikn semakin bagus dan maju,"['keren', 'moga', 'ikn', 'bagus', 'maju']","['keren', 'moga', 'ikn', 'bagus', 'maju']",Positif
aku belum pernh ke jkrt dan ini udh di kalimantan aja😭,aku belum pernh ke jkrt dan ini udh di kalimantan aja,"['pernh', 'jakarta', 'kalimantan']","['pernah', 'jakarta', 'kalimantan']",Positif
Keren banget yaa ga sangkaa di indo sekeren iniiii banggaaa akuuu 😍,keren banget yaa ga sangkaa di indo sekeren iniiii banggaaa akuuu,"['keren', 'indonesia', 'keren', 'bangga']","['keren', 'indonesia', 'keren', 'bangga']",Positif
kalo mau ke ibu kota sekarang mh jauh ya😢,kalo mau ke ibu kota sekarang mh jauh ya,"['kota', 'mh']","['kota', 'mh']",Positif
"Indah banget, pasti udaranya nyaman banget di hirup.
Berbeda dengan jakarta yg udah nyesek di dada udaranya...",indah banget pasti udaranya nyaman banget di hirup berbeda dengan jakarta yg udah nyesek di dada udaranya,"['indah', 'udara', 'nyaman', 'hirup', 'beda', 'jakarta', 'nyesek', 'udara']","['indah', 'udara', 'nyaman', 'hirup', 'beda', 'jakarta', 'nyeret', 'udara']",Positif
"apapun penilaian orang saya tetap bangga,karan ini hasil dari bangsa sendiri, IKN AKAN TERUS BERBENAH TAMPA MENINGGALKAN KEARIFAN LOKAL KALIMANTAN",apapun penilaian orang saya tetap bangga karan ini hasil dari bangsa sendiri ikn akan terus berbenah tampa meninggalkan kearifan lokal kalimantan,"['apa', 'nilai', 'orang', 'bangga', 'hasil', 'bangsa', 'ikn', 'benah', 'tampak', 'tinggal', 'arif', 'lokal', 'kalimantan']","['apa', 'nilai', 'orang', 'bangga', 'hasil', 'bangsa', 'ikn', 'bedah', 'tampak', 'tinggal', 'aria', 'lokal', 'kalimantan']",Positif
masyallah semoga acara 17 agustus berjlana lancar dan pembngunannya juga lancar menuju indonesia maju merdeka indonesiaku🇮🇩🤲❤️..,masyallah semoga acara agustus berjlana lancar dan pembngunannya juga lancar menuju indonesia maju merdeka indonesiaku,"['masyallah', 'moga', 'acara', 'jalan', 'lancar', 'pembngunannya', 'lancar', 'indonesia', 'maju', 'merdeka', 'indonesia']","['masyaallah', 'moga', 'acara', 'jalan', 'lancat', 'pembangunannya', 'lancat', 'indonesia', 'maju', 'merdeka', 'indonesia']",Positif
bagus dan indah🥰tpi sayang hanya orang tertentu saja yang merasakan😊😊,bagus dan indah tpi sayang hanya orang tertentu saja yang merasakan,"['bagus', 'indah', 'sayang', 'orang', 'rasa']","['bagus', 'indah', 'sayang', 'orang', 'rasa']",Negatif
LUAR BIASA IKN NUSSNTARA KEBANGGAAN DAN KEWIBAWAAN INDONESIA MAJU DAN JAYA,luar biasa ikn nussntara kebanggaan dan kewibawaan indonesia maju dan jaya,"['ikn', 'nussntara', 'bangga', 'wibawa', 'indonesia', 'maju', 'jaya']","['ikn', 'nusantara', 'bangga', 'wicara', 'indonesia', 'maju', 'jaya']",Positif
wow....kata orang sebelah pekerjaan 2% aja sdh sebagus ini gimana kalau 100% emang jokowi presiden terbaik dindunia,wow kata orang sebelah pekerjaan aja sdh sebagus ini gimana kalau emang jokowi presiden terbaik dindunia,"['keren', 'orang', 'belah', 'kerja', 'bagus', 'jokowi', 'presiden', 'baik', 'dunia']","['keren', 'orang', 'belah', 'kerja', 'bagus', 'jokowi', 'presiden', 'baik', 'dunia']",Positif
cantik,cantik,['cantik'],['cantik'],Positif
Bangga bngt gue,bangga bngt gue,['bangga'],['bangga'],Positif
"aq sebagai org Kalimantan,bangga IKN ada di Kalimantan 😭😭😭 betapa indahnya IKN, pdhl baru brp persen yg JD tp terlihat sprti luar negeri 🥰🥰🥰🥰",aq sebagai org kalimantan bangga ikn ada di kalimantan betapa indahnya ikn pdhl baru brp persen yg jd tp terlihat sprti luar negeri,"['orang', 'kalimantan', 'bangga', 'ikn', 'kalimantan', 'betapa', 'indah', 'ikn', 'persen', 'negeri']","['orang', 'kalimantan', 'bangga', 'ikn', 'kalimantan', 'betapa', 'indah', 'ikn', 'persen', 'negeri']",Positif
"Aku di Lampung loh tetapi nga tau kenapa kok aku bener” bangga dengan adannya ikn,di bangun oleh anak “ bangsa sendiri masya alloh sehat” buat kalian 🔥🔥🥰🥰🥰🥰",aku di lampung loh tetapi nga tau kenapa kok aku bener bangga dengan adannya ikn di bangun oleh anak bangsa sendiri masya alloh sehat buat kalian,"['lampung', 'loh', 'tau', 'bangga', 'adan', 'ikn', 'bangun', 'anak', 'bangsa', 'masya', 'sehat']","['lampung', 'loh', 'tahu', 'bangga', 'adas', 'ikn', 'bangun', 'anak', 'bangsa', 'maya', 'sehat']",Positif
pengen ikut upacara kesana pasti seger banget udaranya❤️,pengen ikut upacara kesana pasti seger banget udaranya,"['upacara', 'segar', 'udara']","['upacara', 'segar', 'udara']",Positif
Indah sekali. Apalagi kalau para pejabat berkomitmen untuk tinggal di sana Minimal sampai bulan Oktober sampai pelantikan Presiden Baru .. sebagai bentuk komitmen kepada rakyat Indinesia .,indah sekali apalagi kalau para pejabat berkomitmen untuk tinggal di sana minimal sampai bulan oktober sampai pelantikan presiden baru sebagai bentuk komitmen kepada rakyat indinesia,"['indah', 'jabat', 'komitmen', 'tinggal', 'minimal', 'oktober', 'lantik', 'presiden', 'bentuk', 'komitmen', 'rakyat', 'indonesia']","['indah', 'jagat', 'komitmen', 'tinggal', 'minimal', 'oktober', 'lantak', 'presiden', 'bentuk', 'komitmen', 'rakyat', 'indonesia']",Positif
pengen kesanaaaaa .. cuma aku rakyat biasa 😭,pengen kesanaaaaa cuma aku rakyat biasa,"['kesanaaaaa', 'rakyat']","['kesangatan', 'rakyat']",Negatif
Pengen kesana,pengen kesana,[],[],Positif
"Hanya ingin mengucapkan
Sungguh Luarbiasa
Terimakasih Bapak Jokowi",hanya ingin mengucapkan sungguh luarbiasa terimakasih bapak jokowi,"['sungguh', 'luarbiasa', 'terimakasih', 'jokowi']","['sungguh', 'lubis', 'terindikasi', 'jokowi']",Positif
sampe ada bekas latihannya paskibraka..asik angkatan ini perdana di IKN😇,sampe ada bekas latihannya paskibraka asik angkatan ini perdana di ikn,"['bekas', 'latih', 'paskibraka', 'asyik', 'angkat', 'perdana', 'ikn']","['bekas', 'latih', 'paskibraka', 'asik', 'angkat', 'perdata', 'ikn']",Positif
anak abah iri🥺,anak abah iri,"['anak', 'iri']","['anak', 'ir']",Negatif
cepat banget proses nya karena mengejar waktu untuk upacara kemerdekaan Indonesia yg ke 79th untuk pertama kalinya di ibu kota baru Indonesia/IKN,cepat banget proses nya karena mengejar waktu untuk upacara kemerdekaan indonesia yg ke th untuk pertama kalinya di ibu kota baru indonesia ikn,"['cepat', 'proses', 'kejar', 'upacara', 'merdeka', 'indonesia', 'kali', 'kota', 'indonesia', 'ikn']","['cepat', 'proses', 'kejar', 'upacara', 'merdeka', 'indonesia', 'kali', 'kota', 'indonesia', 'ikn']",Positif
Keren simbol jati diri bangsa semakin maju,keren simbol jati diri bangsa semakin maju,"['keren', 'simbol', 'jati', 'bangsa', 'maju']","['keren', 'simbol', 'jati', 'bangsa', 'maju']",Positif
"Masya Allah INDONESIA❤❤❤
terimakasih Pak Jokowi 🥰",masya allah indonesia terimakasih pak jokowi,"['masya', 'indonesia', 'terimakasih', 'jokowi']","['maya', 'indonesia', 'terindikasi', 'jokowi']",Positif
"walaupun GK bisa ke ikn, cukup lihat di tiktok dah merasa senang dan bangga indonesia punya ikn yg begitu cantik dan megah jayalah Indonesiaku .",walaupun gk bisa ke ikn cukup lihat di tiktok dah merasa senang dan bangga indonesia punya ikn yg begitu cantik dan megah jayalah indonesiaku,"['ikn', 'lihat', 'tiktok', 'senang', 'bangga', 'indonesia', 'ikn', 'cantik', 'megah', 'jaya', 'indonesia']","['ikn', 'lihat', 'tiktok', 'senang', 'bangga', 'indonesia', 'ikn', 'cantik', 'megah', 'jaya', 'indonesia']",Positif
"aku bangga Indonesia punya 2 istana seindah ini, tentu karena pak jokowi, 😭 rasanya belum siap di tingal kepemimpinannya",aku bangga indonesia punya istana seindah ini tentu karena pak jokowi rasanya belum siap di tingal kepemimpinannya,"['bangga', 'indonesia', 'istana', 'indah', 'jokowi', 'tinggal', 'pimpin']","['bangga', 'indonesia', 'istana', 'indah', 'jokowi', 'tinggal', 'pimpin']",Positif
cita cita saya kalo dah gede mau bikin rumah di ikn🤞,cita cita saya kalo dah gede mau bikin rumah di ikn,"['cita', 'cita', 'gede', 'rumah', 'ikn']","['cita', 'cita', 'gede', 'rumah', 'ikn']",Positif
"saya bangga dan optimis, walaupun tidak bisa langsung menikmati kelak saya yakin anak, cucu dan cicit pasti bisa kesana. indonesiaku dan saatnya dunia melihat. 🌹🫡",saya bangga dan optimis walaupun tidak bisa langsung menikmati kelak saya yakin anak cucu dan cicit pasti bisa kesana indonesiaku dan saatnya dunia melihat,"['bangga', 'optimis', 'langsung', 'nikmat', 'kelak', 'anak', 'cucu', 'cicit', 'indonesia', 'dunia']","['bangga', 'optimis', 'langsung', 'nikmat', 'kelak', 'anak', 'cucu', 'cirit', 'indonesia', 'dunia']",Positif
"masyaallah indah sekali pemandangan IKN
sunggu beruntung orang orang yang bisa hadir diacara upacara 17 agustus tahun ini",masyaallah indah sekali pemandangan ikn sunggu beruntung orang orang yang bisa hadir diacara upacara agustus tahun ini,"['masyaallah', 'indah', 'pandang', 'ikn', 'sungguh', 'untung', 'orang', 'orang', 'hadir', 'acara', 'upacara']","['masyaallah', 'indah', 'pandang', 'ikn', 'sungguh', 'untung', 'orang', 'orang', 'hadir', 'acara', 'upacara']",Positif
WAW?? ini beneran ikn kah...?? gila keren bgt masyallah 😭😭,waw ini beneran ikn kah gila keren bgt masyallah,"['keren', 'beneran', 'ikn', 'gila', 'keren', 'masyallah']","['keren', 'bendera', 'ikn', 'gila', 'keren', 'masyaallah']",Positif
Kereeen banget semakin menyalaaa IKN,kereeen banget semakin menyalaaa ikn,"['keren', 'menyalaaa', 'ikn']","['keren', 'menyala', 'ikn']",Positif
"HUT RI yg ke 79 di IKN yg Pertama dan Bapak Presiden Jokowi memimpin Upacara di IKN untuk Pertama dan Terakhir
Terimakasih Bapak Presiden Engkau telah menorehkan sejarah membangun IKN Ibu Kota Negara",hut ri yg ke di ikn yg pertama dan bapak presiden jokowi memimpin upacara di ikn untuk pertama dan terakhir terimakasih bapak presiden engkau telah menorehkan sejarah membangun ikn ibu kota negara,"['ikn', 'presiden', 'jokowi', 'pimpin', 'upacara', 'ikn', 'terimakasih', 'presiden', 'engkau', 'toreh', 'sejarah', 'bangun', 'ikn', 'kota', 'negara']","['ikn', 'presiden', 'jokowi', 'pimpin', 'upacara', 'ikn', 'terindikasi', 'presiden', 'enggak', 'torsi', 'sejarah', 'bangun', 'ikn', 'kota', 'negara']",Positif
"kereennnnya 🥰🥰🥰
Tuhan berkati semua persiapan untuk upacara 17 Agustus di IKN, semua yg sudah berlelah untuk IKN Tuhan Berkati, Amin 🙏",kereennnnya tuhan berkati semua persiapan untuk upacara agustus di ikn semua yg sudah berlelah untuk ikn tuhan berkati amin,"['keren', 'tuhan', 'berkat', 'siap', 'upacara', 'ikn', 'lelah', 'ikn', 'tuhan', 'berkat']","['keren', 'tuhan', 'berkat', 'siap', 'upacara', 'ikn', 'lelah', 'ikn', 'tuhan', 'berkat']",Positif
yg bilang ikn belum ada lampu liat ini😭,yg bilang ikn belum ada lampu liat ini,"['ikn', 'lampu', 'lihat']","['ikn', 'lampu', 'lihat']",Positif
"Merdeka,Sekali Merdeka Tetap Merdeka..",merdeka sekali merdeka tetap merdeka,"['merdeka', 'merdeka', 'merdeka']","['merdeka', 'merdeka', 'merdeka']",Positif
aku yg jadi tukang masaknya orang proyek di ikn aja bangga banget 🤣😭,aku yg jadi tukang masaknya orang proyek di ikn aja bangga banget,"['tukang', 'masak', 'orang', 'proyek', 'ikn', 'bangga']","['tukang', 'masak', 'orang', 'proyek', 'ikn', 'bangga']",Positif
Sumpah Gua Merinding... begitu megahnya IKN🥰,sumpah gua merinding begitu megahnya ikn,"['sumpah', 'merinding', 'megah', 'ikn']","['sumpah', 'merinding', 'megah', 'ikn']",Positif
🥰🥰 seindahh iniii masyaallahhh tdak salah pilihanku pak jokowi🥰,seindahh iniii masyaallahhh tdak salah pilihanku pak jokowi,"['indah', 'masyaallahhh', 'tidak', 'salah', 'pilih', 'jokowi']","['indah', 'masyaallah', 'tidak', 'salah', 'pilih', 'jokowi']",Positif
